,periodo,ars,indicador,valor,unidade,id,ano,mes,trimestre
0,2026-09-19,ARS Norte,Taxa diária de atendimentos urgentes com prioridade verde ou azul,30.8517,epis. urg./100.000 resid.,2026-09-19/ARS Norte/Taxa diária de episódios de urgência não urgentes (Manchester) por 100.000 residentes,2026,9,3
1,2026-09-19,ARS Centro,Tempo médio de espera entre a triagem e a primeira observação médica (rede de urgência hospitalar),69.5516,minuto,2026-09-19/ARS Centro/Tempo médio de espera entre a triagem e a primeira observação médica (rede de urgência hospitalar),2026,9,3
2,2026-09-19,ARS Centro,Taxa diária de atendimentos urgentes com prioridade verde ou azul,29.1273,epis. urg./100.000 resid.,2026-09-19/ARS Centro/Taxa diária de episódios de urgência não urgentes (Manchester) por 100.000 residentes,2026,9,3
3,2026-09-19,ARS Centro,Número estimado de episódios de urgência,2671.0,episódio urgência,2026-09-19/ARS Centro/Número estimado de episódios de urgência,2026,9,3
4,2026-09-19,ARS Alentejo,Taxa diária de atendimentos urgentes com prioridade verde ou azul,45.7101,epis. urg./100.000 resid.,2026-09-19/ARS Alentejo/Taxa diária de episódios de urgência não urgentes (Manchester) por 100.000 residentes,2026,9,3
5,2026-09-19,Portugal Continental,Taxa diária de atendimentos urgentes com internamento,8.93018,%,2026-09-19/Portugal Continental/Taxa diária de episódios de urgência com internamento (%),2026,9,3
6,2026-09-19,ARS Norte,Número estimado de episódios de urgência,5831.0,episódio urgência,2026-09-19/ARS Norte/Número estimado de episódios de urgência,2026,9,3
7,2026-09-19,ARS Centro,Taxa diária de atendimentos urgentes com internamento,10.2986,%,2026-09-19/ARS Centro/Taxa diária de episódios de urgência com internamento (%),2026,9,3
8,2026-09-19,ARS Lisboa e Vale do Tejo,Tempo médio de espera entre a triagem e a primeira observação médica (rede de urgência hospitalar),105.161,minuto,2026-09-19/ARS Lisboa e Vale do Tejo/Tempo médio de espera entre a triagem e a primeira observação médica (rede de urgência hospitalar),2026,9,3
9,2026-09-19,ARS Lisboa e Vale do Tejo,Número estimado de episódios de urgência,4698.0,episódio urgência,2026-09-19/ARS Lisboa e Vale do Tejo/Número estimado de episódios de urgência,2026,9,3
10,2026-09-19,Portugal Continental,Taxa diária de atendimentos urgentes com prioridade verde ou azul,33.1479,epis. urg./100.000 resid.,2026-09-19/Portugal Continental/Taxa diária de episódios de urgência não urgentes (Manchester) por 100.000 residentes,2026,9,3
11,2026-09-19,ARS Lisboa e Vale do Tejo,Taxa diária de atendimentos urgentes com internamento,9.13963,%,2026-09-19/ARS Lisboa e Vale do Tejo/Taxa diária de episódios de urgência com internamento (%),2026,9,3
12,2026-09-19,ARS Alentejo,Taxa diária de atendimentos urgentes com internamento,11.609,%,2026-09-19/ARS Alentejo/Taxa diária de episódios de urgência com internamento (%),2026,9,3
13,2026-09-19,ARS Norte,Tempo médio de espera entre a triagem e a primeira observação médica (rede de urgência hospitalar),60.1286,minuto,2026-09-19/ARS Norte/Tempo médio de espera entre a triagem e a primeira observação médica (rede de urgência hospitalar),2026,9,3
