periodo;ars;indicador;valor;unidade;id
2026-09-19;ARS Norte;Taxa diária de atendimentos urgentes com prioridade verde ou azul;30.8517;epis. urg./100.000 resid.;2026-09-19/ARS Norte/Taxa diária de episódios de urgência não urgentes (Manchester) por 100.000 residentes
2026-09-19;ARS Centro;Tempo médio de espera entre a triagem e a primeira observação médica (rede de urgência hospitalar);69.5516;minuto;2026-09-19/ARS Centro/Tempo médio de espera entre a triagem e a primeira observação médica (rede de urgência hospitalar)
2026-09-19;ARS Centro;Taxa diária de atendimentos urgentes com prioridade verde ou azul;29.1273;epis. urg./100.000 resid.;2026-09-19/ARS Centro/Taxa diária de episódios de urgência não urgentes (Manchester) por 100.000 residentes
2026-09-19;ARS Centro;Número estimado de episódios de urgência;2671.0;episódio urgência;2026-09-19/ARS Centro/Número estimado de episódios de urgência
2026-09-19;ARS Alentejo;Taxa diária de atendimentos urgentes com prioridade verde ou azul;45.7101;epis. urg./100.000 resid.;2026-09-19/ARS Alentejo/Taxa diária de episódios de urgência não urgentes (Manchester) por 100.000 residentes
2026-09-19;Portugal Continental;Taxa diária de atendimentos urgentes com internamento;8.93018;%;2026-09-19/Portugal Continental/Taxa diária de episódios de urgência com internamento (%)
2026-09-19;ARS Norte;Número estimado de episódios de urgência;5831.0;episódio urgência;2026-09-19/ARS Norte/Número estimado de episódios de urgência
2026-09-19;ARS Centro;Taxa diária de atendimentos urgentes com internamento;10.2986;%;2026-09-19/ARS Centro/Taxa diária de episódios de urgência com internamento (%)
2026-09-19;ARS Lisboa e Vale do Tejo;Tempo médio de espera entre a triagem e a primeira observação médica (rede de urgência hospitalar);105.161;minuto;2026-09-19/ARS Lisboa e Vale do Tejo/Tempo médio de espera entre a triagem e a primeira observação médica (rede de urgência hospitalar)
2026-09-19;ARS Lisboa e Vale do Tejo;Número estimado de episódios de urgência;4698.0;episódio urgência;2026-09-19/ARS Lisboa e Vale do Tejo/Número estimado de episódios de urgência
2026-09-19;Portugal Continental;Taxa diária de atendimentos urgentes com prioridade verde ou azul;33.1479;epis. urg./100.000 resid.;2026-09-19/Portugal Continental/Taxa diária de episódios de urgência não urgentes (Manchester) por 100.000 residentes
2026-09-19;ARS Lisboa e Vale do Tejo;Taxa diária de atendimentos urgentes com internamento;9.13963;%;2026-09-19/ARS Lisboa e Vale do Tejo/Taxa diária de episódios de urgência com internamento (%)
2026-09-19;ARS Alentejo;Taxa diária de atendimentos urgentes com internamento;11.609;%;2026-09-19/ARS Alentejo/Taxa diária de episódios de urgência com internamento (%)
2026-09-19;ARS Norte;Tempo médio de espera entre a triagem e a primeira observação médica (rede de urgência hospitalar);60.1286;minuto;2026-09-19/ARS Norte/Tempo médio de espera entre a triagem e a primeira observação médica (rede de urgência hospitalar)
2026-09-19;ARS Alentejo;Número estimado de episódios de urgência;962.0;episódio urgência;2026-09-19/ARS Alentejo/Número estimado de episódios de urgência
2026-09-19;ARS Algarve;Número estimado de episódios de urgência;906.0;episódio urgência;2026-09-19/ARS Algarve/Número estimado de episódios de urgência
2026-09-19;Portugal Continental;Tempo médio de espera entre a triagem e a primeira observação médica (rede de urgência hospitalar);73.9111;minuto;2026-09-19/Portugal Continental/Tempo médio de espera entre a triagem e a primeira observação médica (rede de urgência hospitalar)
2026-09-19;ARS Norte;Taxa diária de atendimentos urgentes com internamento;7.82866;%;2026-09-19/ARS Norte/Taxa diária de episódios de urgência com internamento (%)
2026-09-19;ARS Lisboa e Vale do Tejo;Taxa diária de atendimentos urgentes com prioridade verde ou azul;36.6768;epis. urg./100.000 resid.;2026-09-19/ARS Lisboa e Vale do Tejo/Taxa diária de episódios de urgência não urgentes (Manchester) por 100.000 residentes
2026-09-19;ARS Alentejo;Tempo médio de espera entre a triagem e a primeira observação médica (rede de urgência hospitalar);31.2557;minuto;2026-09-19/ARS Alentejo/Tempo médio de espera entre a triagem e a primeira observação médica (rede de urgência hospitalar)
2026-09-19;Portugal Continental;Número estimado de episódios de urgência;15068.0;episódio urgência;2026-09-19/Portugal Continental/Número estimado de episódios de urgência
2026-09-18;ARS Norte;Tempo médio de espera entre a triagem e a primeira observação médica (rede de urgência hospitalar);61.5574;minuto;2026-09-18/ARS Norte/Tempo médio de espera entre a triagem e a primeira observação médica (rede de urgência hospitalar)
2026-09-18;ARS Centro;Taxa diária de atendimentos urgentes com prioridade verde ou azul;29.1223;epis. urg./100.000 resid.;2026-09-18/ARS Centro/Taxa diária de episódios de urgência não urgentes (Manchester) por 100.000 residentes
2026-09-18;ARS Centro;Taxa diária de atendimentos urgentes com internamento;10.3987;%;2026-09-18/ARS Centro/Taxa diária de episódios de urgência com internamento (%)
2026-09-18;ARS Centro;Número estimado de episódios de urgência;2789.0;episódio urgência;2026-09-18/ARS Centro/Número estimado de episódios de urgência
2026-09-18;ARS Lisboa e Vale do Tejo;Taxa diária de atendimentos urgentes com prioridade verde ou azul;38.0639;epis. urg./100.000 resid.;2026-09-18/ARS Lisboa e Vale do Tejo/Taxa diária de episódios de urgência não urgentes (Manchester) por 100.000 residentes
2026-09-18;ARS Norte;Número estimado de episódios de urgência;6160.0;episódio urgência;2026-09-18/ARS Norte/Número estimado de episódios de urgência
2026-09-18;ARS Centro;Tempo médio de espera entre a triagem e a primeira observação médica (rede de urgência hospitalar);71.1853;minuto;2026-09-18/ARS Centro/Tempo médio de espera entre a triagem e a primeira observação médica (rede de urgência hospitalar)
2026-09-18;ARS Alentejo;Taxa diária de atendimentos urgentes com prioridade verde ou azul;46.7033;epis. urg./100.000 resid.;2026-09-18/ARS Alentejo/Taxa diária de episódios de urgência não urgentes (Manchester) por 100.000 residentes
2026-09-18;ARS Lisboa e Vale do Tejo;Tempo médio de espera entre a triagem e a primeira observação médica (rede de urgência hospitalar);97.0275;minuto;2026-09-18/ARS Lisboa e Vale do Tejo/Tempo médio de espera entre a triagem e a primeira observação médica (rede de urgência hospitalar)
2026-09-18;ARS Lisboa e Vale do Tejo;Taxa diária de atendimentos urgentes com internamento;9.56047;%;2026-09-18/ARS Lisboa e Vale do Tejo/Taxa diária de episódios de urgência com internamento (%)
2026-09-18;ARS Alentejo;Taxa diária de atendimentos urgentes com internamento;10.9208;%;2026-09-18/ARS Alentejo/Taxa diária de episódios de urgência com internamento (%)
2026-09-18;Portugal Continental;Número estimado de episódios de urgência;16278.0;episódio urgência;2026-09-18/Portugal Continental/Número estimado de episódios de urgência
2026-09-18;ARS Norte;Taxa diária de atendimentos urgentes com prioridade verde ou azul;32.003;epis. urg./100.000 resid.;2026-09-18/ARS Norte/Taxa diária de episódios de urgência não urgentes (Manchester) por 100.000 residentes
2026-09-18;ARS Norte;Taxa diária de atendimentos urgentes com internamento;7.95682;%;2026-09-18/ARS Norte/Taxa diária de episódios de urgência com internamento (%)
2026-09-18;ARS Alentejo;Tempo médio de espera entre a triagem e a primeira observação médica (rede de urgência hospitalar);36.8177;minuto;2026-09-18/ARS Alentejo/Tempo médio de espera entre a triagem e a primeira observação médica (rede de urgência hospitalar)
2026-09-18;Portugal Continental;Tempo médio de espera entre a triagem e a primeira observação médica (rede de urgência hospitalar);72.8167;minuto;2026-09-18/Portugal Continental/Tempo médio de espera entre a triagem e a primeira observação médica (rede de urgência hospitalar)
2026-09-18;Portugal Continental;Taxa diária de atendimentos urgentes com internamento;9.11225;%;2026-09-18/Portugal Continental/Taxa diária de episódios de urgência com internamento (%)
2026-09-18;ARS Lisboa e Vale do Tejo;Número estimado de episódios de urgência;5243.0;episódio urgência;2026-09-18/ARS Lisboa e Vale do Tejo/Número estimado de episódios de urgência
2026-09-18;ARS Alentejo;Número estimado de episódios de urgência;1076.0;episódio urgência;2026-09-18/ARS Alentejo/Número estimado de episódios de urgência
2026-09-18;ARS Algarve;Número estimado de episódios de urgência;1010.0;episódio urgência;2026-09-18/ARS Algarve/Número estimado de episódios de urgência
2026-09-18;Portugal Continental;Taxa diária de atendimentos urgentes com prioridade verde ou azul;34.2039;epis. urg./100.000 resid.;2026-09-18/Portugal Continental/Taxa diária de episódios de urgência não urgentes (Manchester) por 100.000 residentes
2026-09-17;ARS Norte;Número estimado de episódios de urgência;6253.0;episódio urgência;2026-09-17/ARS Norte/Número estimado de episódios de urgência
2026-09-17;ARS Lisboa e Vale do Tejo;Taxa diária de atendimentos urgentes com internamento;9.49195;%;2026-09-17/ARS Lisboa e Vale do Tejo/Taxa diária de episódios de urgência com internamento (%)
2026-09-17;ARS Lisboa e Vale do Tejo;Número estimado de episódios de urgência;5291.0;episódio urgência;2026-09-17/ARS Lisboa e Vale do Tejo/Número estimado de episódios de urgência
2026-09-17;ARS Alentejo;Tempo médio de espera entre a triagem e a primeira observação médica (rede de urgência hospitalar);52.5365;minuto;2026-09-17/ARS Alentejo/Tempo médio de espera entre a triagem e a primeira observação médica (rede de urgência hospitalar)
2026-09-17;ARS Alentejo;Taxa diária de atendimentos urgentes com internamento;12.543;%;2026-09-17/ARS Alentejo/Taxa diária de episódios de urgência com internamento (%)
2026-09-17;Portugal Continental;Taxa diária de atendimentos urgentes com internamento;9.14083;%;2026-09-17/Portugal Continental/Taxa diária de episódios de urgência com internamento (%)
2026-09-17;Portugal Continental;Número estimado de episódios de urgência;16395.0;episódio urgência;2026-09-17/Portugal Continental/Número estimado de episódios de urgência
2026-09-17;ARS Norte;Taxa diária de atendimentos urgentes com prioridade verde ou azul;32.0021;epis. urg./100.000 resid.;2026-09-17/ARS Norte/Taxa diária de episódios de urgência não urgentes (Manchester) por 100.000 residentes
2026-09-17;ARS Norte;Taxa diária de atendimentos urgentes com internamento;7.95887;%;2026-09-17/ARS Norte/Taxa diária de episódios de urgência com internamento (%)
2026-09-17;ARS Centro;Taxa diária de atendimentos urgentes com prioridade verde ou azul;28.8154;epis. urg./100.000 resid.;2026-09-17/ARS Centro/Taxa diária de episódios de urgência não urgentes (Manchester) por 100.000 residentes
2026-09-17;ARS Centro;Taxa diária de atendimentos urgentes com internamento;10.2584;%;2026-09-17/ARS Centro/Taxa diária de episódios de urgência com internamento (%)
2026-09-17;ARS Algarve;Número estimado de episódios de urgência;882.0;episódio urgência;2026-09-17/ARS Algarve/Número estimado de episódios de urgência
2026-09-17;Portugal Continental;Tempo médio de espera entre a triagem e a primeira observação médica (rede de urgência hospitalar);67.924;minuto;2026-09-17/Portugal Continental/Tempo médio de espera entre a triagem e a primeira observação médica (rede de urgência hospitalar)
2026-09-17;ARS Norte;Tempo médio de espera entre a triagem e a primeira observação médica (rede de urgência hospitalar);52.654;minuto;2026-09-17/ARS Norte/Tempo médio de espera entre a triagem e a primeira observação médica (rede de urgência hospitalar)
2026-09-17;ARS Lisboa e Vale do Tejo;Tempo médio de espera entre a triagem e a primeira observação médica (rede de urgência hospitalar);95.0438;minuto;2026-09-17/ARS Lisboa e Vale do Tejo/Tempo médio de espera entre a triagem e a primeira observação médica (rede de urgência hospitalar)
2026-09-17;ARS Alentejo;Taxa diária de atendimentos urgentes com prioridade verde ou azul;42.711;epis. urg./100.000 resid.;2026-09-17/ARS Alentejo/Taxa diária de episódios de urgência não urgentes (Manchester) por 100.000 residentes
2026-09-17;ARS Alentejo;Número estimado de episódios de urgência;1109.0;episódio urgência;2026-09-17/ARS Alentejo/Número estimado de episódios de urgência
2026-09-17;Portugal Continental;Taxa diária de atendimentos urgentes com prioridade verde ou azul;34.4901;epis. urg./100.000 resid.;2026-09-17/Portugal Continental/Taxa diária de episódios de urgência não urgentes (Manchester) por 100.000 residentes
2026-09-17;ARS Centro;Tempo médio de espera entre a triagem e a primeira observação médica (rede de urgência hospitalar);65.4211;minuto;2026-09-17/ARS Centro/Tempo médio de espera entre a triagem e a primeira observação médica (rede de urgência hospitalar)
